Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HelpCenter_DTS,Chrome 139.0.7258.155,,,17-09-2025 15:29:35,17-09-2025 15:30:11,36.144s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC3-TC03 Verify the Tree View,Chrome 139.0.7258.155,"1. Navigate to https://www.justinmind.com/support/exercises-data 
    2.  Click on each subset of the Data List",HelpCenter,17-09-2025 15:29:35,17-09-2025 15:29:49,14.134s,PASSED
"DATA BINDING - {""(Default) heade..."":""6""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.155,,,17-09-2025 15:29:35,17-09-2025 15:29:35,0.013s,PASSED
Start setup action : setup,Chrome 139.0.7258.155,,,17-09-2025 15:29:35,17-09-2025 15:29:39,4.098s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.155,,,17-09-2025 15:29:39,17-09-2025 15:29:39,0.001s,PASSED
"""Initialize test session: Open browser and set view port""",Chrome 139.0.7258.155,,,17-09-2025 15:29:39,17-09-2025 15:29:39,0.001s,PASSED
"TrueTestScripts.navigate(""/support/exercises-data"")",Chrome 139.0.7258.155,Step 1: Navigate to /support/exercises-data,,17-09-2025 15:29:39,17-09-2025 15:29:46,7.243s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_displayingDataMasterRecords""))",Chrome 139.0.7258.155,Step 2: Click on link displayingDataMasterRecords,,17-09-2025 15:29:46,17-09-2025 15:29:46,0.087s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/header_displayingDataMasterRecords""))",Chrome 139.0.7258.155,Step 3: Click on header displayingDataMasterRecords,,17-09-2025 15:29:46,17-09-2025 15:29:46,0.055s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_properties""))",Chrome 139.0.7258.155,Step 4: Click on link properties,,17-09-2025 15:29:46,17-09-2025 15:29:46,0.190s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType]))",Chrome 139.0.7258.155,Step 5: Click on header tableOptions (properties),,17-09-2025 15:29:46,17-09-2025 15:29:46,0.038s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_customizingDataList""))",Chrome 139.0.7258.155,Step 6: Click on link customizingDataList,,17-09-2025 15:29:46,17-09-2025 15:29:47,0.097s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_1, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_1]))",Chrome 139.0.7258.155,Step 7: Click on header tableOptions (customizingDataList),,17-09-2025 15:29:47,17-09-2025 15:29:47,0.034s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_sortColumns""))",Chrome 139.0.7258.155,Step 8: Click on link sortColumns,,17-09-2025 15:29:47,17-09-2025 15:29:47,0.028s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_2, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_2]))",Chrome 139.0.7258.155,Step 9: Click on header tableOptions (sortColumns),,17-09-2025 15:29:47,17-09-2025 15:29:47,0.029s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_filterRows""))",Chrome 139.0.7258.155,Step 10: Click on link filterRows,,17-09-2025 15:29:47,17-09-2025 15:29:47,0.028s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_3, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_3]))",Chrome 139.0.7258.155,Step 11: Click on header tableOptions (filterRows),,17-09-2025 15:29:47,17-09-2025 15:29:47,0.028s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/item_selectRows""))",Chrome 139.0.7258.155,Step 12: Click on item selectRows,,17-09-2025 15:29:47,17-09-2025 15:29:47,0.029s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_selectRows""))",Chrome 139.0.7258.155,Step 13: Click on link selectRows,,17-09-2025 15:29:47,17-09-2025 15:29:47,0.038s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_4, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_4]))",Chrome 139.0.7258.155,Step 14: Click on header tableOptions (selectRows) -> Navigate to page '',,17-09-2025 15:29:47,17-09-2025 15:29:47,0.025s,PASSED
"takeFullPageScreenshotAsCheckpoint(""TC3-TC03 Verify the Tree View_visual_checkpoint"")",Chrome 139.0.7258.155,Step 15: Take full page screenshot as checkpoint,,17-09-2025 15:29:47,17-09-2025 15:29:49,1.853s,PASSED
Start tear down : teardown,Chrome 139.0.7258.155,,,17-09-2025 15:29:49,17-09-2025 15:29:49,0.151s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC5-TC04 Verify QnA Categories,Chrome 139.0.7258.155,"1. Navigate to https://www.justinmind.com/support/exercises-data 
    2. Type ""Searchbox"" into the ""What are you looking for?"" searchbox
    3. Click on ""Q&A Forums For Free Evaluations Users""
    4. Click on ""UI Libraries & Widget"" category
    5. Click on ""All Topics"" / ""Problems"" / ""Questions"" / ""Ideas""",HelpCenter,17-09-2025 15:29:49,17-09-2025 15:30:11,21.822s,PASSED
"DATA BINDING - {""(Default) i_ide..."":""9423"",""(Default) i_top..."":""9559""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.155,,,17-09-2025 15:29:49,17-09-2025 15:29:49,0.001s,PASSED
Start setup action : setup,Chrome 139.0.7258.155,,,17-09-2025 15:29:49,17-09-2025 15:29:51,2.305s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.155,,,17-09-2025 15:29:51,17-09-2025 15:29:51,0.001s,PASSED
