Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HelpCenter_DTS,Chrome 139.0.7258.128,,,18-08-2025 23:35:06,18-08-2025 23:35:37,31.359s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC3-TC03 Verify the Tree View,Chrome 139.0.7258.128,"1. Navigate to https://www.justinmind.com/support/exercises-data 
    2.  Click on each subset of the Data List",HelpCenter,18-08-2025 23:35:06,18-08-2025 23:35:21,15.332s,PASSED
"DATA BINDING - {""(Default) heade..."":""6""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.128,,,18-08-2025 23:35:06,18-08-2025 23:35:06,0.009s,PASSED
Start setup action : setup,Chrome 139.0.7258.128,,,18-08-2025 23:35:06,18-08-2025 23:35:10,4.204s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.128,,,18-08-2025 23:35:10,18-08-2025 23:35:10,0.000s,PASSED
"""Initialize test session: Open browser and set view port""",Chrome 139.0.7258.128,,,18-08-2025 23:35:10,18-08-2025 23:35:10,0.002s,PASSED
"TrueTestScripts.navigate(""/support/exercises-data"")",Chrome 139.0.7258.128,Step 1: Navigate to /support/exercises-data,,18-08-2025 23:35:10,18-08-2025 23:35:16,5.519s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 2: Click on link displayingDataMasterRecords,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.125s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/header_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 3: Click on header displayingDataMasterRecords,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.057s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_properties""))",Chrome 139.0.7258.128,Step 4: Click on link properties,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.044s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType]))",Chrome 139.0.7258.128,Step 5: Click on header tableOptions (properties),,18-08-2025 23:35:16,18-08-2025 23:35:16,0.030s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_customizingDataList""))",Chrome 139.0.7258.128,Step 6: Click on link customizingDataList,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.028s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_1, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_1]))",Chrome 139.0.7258.128,Step 7: Click on header tableOptions (customizingDataList),,18-08-2025 23:35:16,18-08-2025 23:35:16,0.030s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_sortColumns""))",Chrome 139.0.7258.128,Step 8: Click on link sortColumns,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.028s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_2, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_2]))",Chrome 139.0.7258.128,Step 9: Click on header tableOptions (sortColumns),,18-08-2025 23:35:16,18-08-2025 23:35:16,0.026s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_filterRows""))",Chrome 139.0.7258.128,Step 10: Click on link filterRows,,18-08-2025 23:35:16,18-08-2025 23:35:16,0.031s,PASSED
